name,closest
ALL THAT JAVA Tivoli,
Carriage Towne Bar & Grille,
Pearl's Bay Villa Restaurant and Marina,
House of Fortune Inc,
Pakwan Restaurant - Fremont,
Bristol Gardens & Grill,
"Wendy Conquest, MA, LPC, CSAT-S",[270]
Darcy's cafe and slots,
Anderson's in the Village,"[1965, 2633]"
Liberty Family Dining,
Steve's Pizza Palace,
97 Cafe,"[19, 26, 61, 143, 200, 249, 282, 283, 365, 407, 547, 562, 610, 690, 811, 857, 948, 998, 1001, 1026, 1107, 1325, 1375, 1399, 1442, 1488, 1533, 1544, 1739, 1987, 2016, 2068, 2126, 2159, 2304, 2352, 2412, 2495, 2508, 2520, 2573, 2615, 2629, 2685, 2697, 2702, 2709, 2721, 2725, 2776, 2918]"
Loading Zone II,
Cornerstone Coffee and Sweets,
Familia Bar & Grill,
Saigon's Restaurant,[2272]
Buttercup Cafe North Berwick,
Tasty Pizza North,
Chen's Chinese Bistro,[2643]
Cafe Arnou Cocktail & Wine Bar,"[11, 547, 2725]"
Side Track,
Main Street Cucina,"[423, 1391, 1839, 2112]"
G.W. Tavern,
La Postreria y más café,
Bent Bean,"[48, 456, 1371]"
The Broken Paddle Coffee House,"[1219, 1437, 1490, 2038, 2067, 2404, 2642, 2712, 2867]"
Cafe Azucar,"[11, 61, 249, 282, 283, 407, 547, 562, 610, 690, 811, 857, 948, 998, 1026, 1107, 1375, 1399, 1442, 1488, 1544, 1739, 1987, 2016, 2068, 2126, 2159, 2352, 2508, 2520, 2573, 2615, 2629, 2697, 2709, 2721, 2725]"
Village Book & Table,
C'u na mBan Kitchens,
Bolton Ridge Bar & Grill,
Red Arrow Restaurant,
Why Not Take a Break Cafe,
Best Western Heritage Inn,
Patty Ann's Cafe,
Arber Cafe LLC,
Cuatlatl's Family Kitchen,
Rocco's Italian Grille & Bar,
The Covington Restaurant,"[174, 509, 717, 792, 1018, 1227, 1278, 1941, 2030]"
ABG's Bar,
Pera Cafe,
Riggatti's Wood Fired Pizza St. George,
"Bart W. Mcdonald, MPT","[849, 1059, 1311]"
Enve Beauty Bar,
THE ROCK BAR + GRILL,"[64, 334, 789, 854, 1333, 1374, 1624, 1931, 2094, 2232, 2723, 2909, 2914, 2980]"
R & C Cafe,"[179, 460, 743, 1430]"
Haven's Cafe,
J & B Restaurant,"[1358, 2851]"
1818 Central Ltd,"[198, 358, 719, 1289, 1743, 2356]"
Bentley's Tavern,[24]
Alverley Express BBQ House,
The Refuge Café,"[140, 519, 532, 584, 789, 1056]"
Nellie's Restaurant,"[761, 915, 995]"
North Star Grille,"[867, 2153]"
Culbokie Inn,
Pizza Village of Beulaville,
The Alaskan Hotel & Bar,"[89, 1018, 1374, 1562, 1699, 2030, 2498, 2603]"
Ginger & Garlic Chinese & Sushi Restaurant,
Maulana's Cafe,
Teddy's Donuts,
DickieJo's Burgers,
U.S. Pizza Co Fayetteville,
Cafe Robinson,"[11, 26, 283, 407, 547, 562, 610, 690, 857, 948, 1107, 1375, 1399, 1442, 1544, 1739, 1940, 1987, 2068, 2126, 2159, 2304, 2508, 2520, 2573, 2629, 2697, 2721, 2725, 2776]"
Sweetgrass Restaurant & Porch,
Coffee On Raiford,"[563, 723, 1136, 1188, 1613]"
The Kettle Black,"[43, 140, 789, 1313, 1355, 1658, 1931, 2347, 2400, 2906]"
Cloud 44,
Bubbly Bar,
AL'an Ruben's Bar & Grill,
Mountain Perks,[1334]
Repair Café Gosport,
Angkor Wat Restaurant,
El Metate - Hixson,
Chalkboards,
Macdonald Oil and Gas,"[831, 2900]"
Decadent A Coffee and Dessert Bar,
La Taverne,[1668]
Tahoe Waterman's Landing,
Hymie's,
Ana's Corner Store,
Wicked Cow Burgers and Brews - Upland,
Beachcroft Hotel & Beach Hut Suites,
Seoul Soondae Restaurant,
Morenita Restaurante & Pupusería,
Pearl Restaurant & Oyster Bar,
Flava Coffee & Cafe,
Nippo Lake Golf Club Restaurant,
Jak's Downtown Diner,
Reiser Wendy L DO,
RIZE Nutrition,
The Kingston Ale House,"[334, 854, 1018, 1696, 1921, 2499, 2973]"
Di Luccas Pizzeria and Restaurant,
The Bread Box Cafe,"[560, 789, 1172, 1240, 1317, 1712, 2232, 2331]"
The Crazy Gator,"[537, 789, 924, 941, 1397, 2232, 2863, 2935]"
La Kokona Restaurant,
Papasan's Vietnamese Cafe,
Log Cabin Pizza Osakis,
Texas Donut Ranch,
Inizio Pizza Napoletana,
Antica Italian Restaurant & Wine Bar,
Twisted Noodles Chapel Hill,
Gilly's bar,
Amish Meal at the home of Earl & Lisa Miller,
Eight4Nine Restaurant & Lounge,
Nori Thai Restaurant,
Aire & Calder Brewers Fayre,
The Cafe @ Antrim Way,"[705, 789, 1397, 2017, 2315, 2910]"
Auto Care,
Mi Acapulco,
Caro's Mexican Restaurant,[1746]
L & I's Food & Spirits,
The Vineyard Inn,"[247, 348, 789, 852, 1071, 1416, 1649, 1658, 1725, 1921, 2232, 2628, 2882, 2935]"
Myrtle's Pie,
Fuzion Sports Bar & Grill,
Lanesplitter Pizza & Pub,
Travelodge by Wyndham Las Vegas Center Strip,
Restaurant 1890 by Gordon Ramsay,"[1615, 2015, 2559, 2904]"
Pint and Jigger,
El Maguey Grill Mexican Restaurant,
La Mangonada Restaurant & Fruteria,
"Wendy Picard, Ph.D.","[274, 466, 479, 501, 524, 711, 2238]"
High Country Health Foods,
Diamond A Goss Bar-B-Q,
Namaste Indian Restaurant and Club Prosecco Lounge,
Jimmy Carter Blvd & Dunkin Donuts OB,
Regalo Trattoria & Pizza Bar,
Panevino Italian Grille & Deli Café,
Kellys Irish Pub,
Fito’s mexican,
Hardison mill homestead hall,
Pizzeria Bambinos & Bar,
Minstrels Restaurant & Wine Bar,
Delizioso Bistro & Coffee Bar,[2071]
DaVinci's Italian Restaurant,
"Anfinson Thompson & Company, PA",
OvenBird,
Northgate Marketplace,
Scoops & Snack Attack,
Howard’s Pizza-SW,[943]
Jacob & Anthony Italian,
The Spa Garden Cafe,"[496, 789, 1419, 2115, 2229, 2331, 2882, 2910, 2923]"
The Lecca Cafe,"[50, 64, 154, 156, 239, 315, 432, 532, 652, 765, 789, 836, 924, 1056, 1172, 1276, 1313, 1459, 1564, 1931, 2039, 2090, 2115, 2144, 2347, 2400, 2906, 2910, 2947]"
The Little Kitchen Wigan Ltd,"[1200, 2056, 2973]"
The Blue Owl Sweet Shoppe,"[336, 2424, 2973]"
Cafe Caladesi,"[11, 61, 249, 283, 407, 547, 610, 998, 1001, 1375, 1399, 1442, 1544, 1739, 2016, 2159, 2352, 2508, 2520, 2573, 2615, 2709, 2721, 2725]"
The Railyard Restaurant & Bar,"[406, 1200, 1206, 1490, 1964, 2027, 2038, 2135, 2421, 2642, 2867, 2930, 2973]"
Salina Country Club,
Frontier Bar and Campground,
Stage 2 Coffee House,
Uncle Shug’s Bar-B-Q Place,
Manor Line Back 40,
Maxibell Restaurant,
Servatii Pastry Shop Symmes,
Cyclelogical Coffee & Gelato,
Chili Dog Stand,
Thai Lily Cafe,
Grapes Restaurant & Bar,
The BlueBird Cafe,"[140, 315, 519, 532, 584, 789, 1416, 1420, 1564, 1902, 2232, 2347, 2906]"
"D' Lua Pancake & Burrito House Moline, IL.",
Chuck Wagon Crawfish,
Mi Tierra Taqueria Y Pupuseria,
Firehouse Coffee Company & Salon 227,[1539]
Karlito’s Grill Taquería,
Pilar Caribbean Restaurant,
Ongeez Takeout,
Sumela: Turkish and Mediterranean Restaurant,
AL-SULTAN Mediterranean Grill,
Local Pros Networking,
Ki's Restaurant,
"Market Roost Restaurant, Catering & Bakery",
Oggie's Kitchen & Bar,
Dolce Amici,
Arcade Fish Restaurant,
The Capital BURGERS & BEER,"[369, 1765, 1822, 1922, 1941, 2067, 2094, 2973]"
Refinery Bar & Grill,
The Cove • Cafe Bar Venue,"[37, 705, 1172]"
German Coffee,
Los Ruvalcaba - Mexican Food - Restaurant - Texas Blvd,
Camp 4 Coffee,[338]
Patsy's Restaurant,
Gio's Cafe,[1430]
Coops corner,
Lums Coffee Stop,
Georgia French Bakery & Cafe,
Neisen's Corner Bar,
A Taste Of Monrovia,
Torrez Burrito Express,
Papa's Fish And Chips Bilton,
Po Boyz Diner and Grill Ayr,
Aroy Dee,
Village Square Pizza & Ice Cream Parlor,
Spice Station,
Aroma's Coffee & Tea,[2034]
Mc Donald's New & Used Furniture,
Shan's Chinese Restaurant,
Salvadoreño Restaurant #2- Pupusas,
Crouch St. Bakes,
Llanerch Restaurant,
Frio Canyon Rentals,
Central Park Coffee Company,"[47, 358, 2356]"
Maniac-Mikes Cafe,
Cafe on the Heale,"[11, 283, 407, 547, 610, 811, 1001, 1375, 1987, 2156, 2159, 2352, 2629, 2702, 2725]"
Silvia's Lindo Sinaloa,[1221]
Testa's Bar & Grill,
Brandy Bar Landing,
The Best Chocolate in Town (Pop-Up Store),
Black Bear Beefeater,[1984]
Lincoln Arboretum Cafe,[1518]
Benyue Restaurant (Formerly Lucky Lou),
THAI BASIL SUSHI II,"[298, 1572, 2843]"
Rudder's Cafe,
Silver Cue Billiards Bar,"[1221, 1880, 2050]"
Chef Baldee's Pizza,
Six36,[1044]
Stone Leaf Teahouse,
Facetime Beauty Bar,
Dilraj Restaurant,
Alphy's Catfish House,
The Old Pub,"[789, 807, 1252, 1489, 2322, 2723, 2803]"
Olvera's,
Firenze Restaurant & Pizzeria,
Gentelin's On Broadway,
JW’s,
Star Provisions Market & Cafe,
Coffee#1 Newhall,"[563, 723, 1136, 1188]"
Strathmore Bagel Cafe,
Nippenose Tavern,
Mother Anna's Restaurant and Bar,
Papa D's,
Bedlam BAR-B-Q Dine in and patio,
Shake Shack Woburn,
D.P. Dough Blacksburg,
Country Club Village,"[392, 2655]"
Farmhaus Coffee Co.,
Greeneville Graze,[643]
Frank's Burger Place,
Waffle & Pancake Shoppe,
Sano Cafe,"[179, 1430]"
Kalapaki Beach Access Parking,
Fritangas Mexican Restaurant Thornton,
The Pasta Corral,"[140, 404, 537, 584, 687, 789, 1048, 1276, 1397, 1505, 1842, 2039, 2090, 2315, 2347, 2475, 2723, 2882, 2906, 2935]"
Luna's Seafood,
Mii amo Café,
Connected,
A2Z Cafe (Inside and patio dining or Carry-out to Curbside),
Wendt's On the Lake,[2238]
Dogleg Sports Bar and Grill,
Litton's,
The Colney Diner,"[110, 404, 537, 789, 1146, 1562, 1658, 1725, 2347, 2385, 2475, 2499, 2803]"
Garcia's Pizza,[2142]
Cafe Zella,"[11, 26, 143, 282, 283, 407, 547, 562, 610, 811, 857, 948, 998, 1001, 1107, 1375, 1399, 1442, 1544, 1739, 1987, 2126, 2159, 2304, 2520, 2573, 2615, 2629, 2709, 2721, 2725]"
Diedrich Espresso Oak Harbor,
Ranas Tandoori Restaurant,
From The Hearth Kitchen and Pie Shop - Market St,
Benja's Thai & Sushi Restaurant,
Taqueria Cindy,"[372, 1104, 1686, 1691, 2248, 2482, 2684, 2985]"
Fresh Freeze,[2647]
Ireland's 32,
Medina Market & Cafe,
Majestic Bar & Grille,
Middleton Place,"[2223, 2605]"
Shaggy's Pass Harbor,
Squatch Box,
Sweet And Earthy,"[374, 1655]"
Greenhaus Coffee,[2233]
Knight Way Cafe,
Kitchen House cafe,[2926]
Taco Salinas,"[280, 473, 1799, 1854]"
Bangkok Express Cafe,
The Cafe at Red Castle Games,"[1200, 2347, 2571]"
Way Fruit Farm Downtown Market and Cafe,
Wendy Liu Accountancy Corp,[6]
Rosa Sky,
Aut-to Mocha,
610 Inc.,[449]
wendy yvonne,"[119, 465, 466, 479, 501, 524, 711, 2018, 2031, 2311, 2515]"
The Bay Kitchen and Stores,"[406, 1200, 1374, 1964, 2817, 2973]"
Everspring,
Abigail's Tea Room,
Harbour View Chip Shop & Cafe,
Chin's Restaurant,"[1366, 2158, 2192, 2550, 2960]"
Taco Island,"[266, 473, 616]"
Sunny Kitchen,
Cafe Kulture,"[11, 26, 249, 338, 407, 547, 610, 811, 857, 998, 1375, 1544, 1739, 1987, 2126, 2304, 2520, 2573, 2615, 2629, 2721, 2725]"
Cafe Osceola,"[11, 26, 61, 143, 200, 249, 282, 338, 407, 547, 562, 610, 690, 811, 1375, 1399, 1544, 2068, 2159, 2520, 2573, 2615, 2629, 2697, 2702, 2709, 2721, 2725]"
The Mess Cafe,"[519, 537, 687, 789, 1048, 1276, 1313, 1333, 1397, 1649, 2143, 2229, 2371, 2906]"
Willie D's Deli,[1012]
Leone's Ristorante & Pizzeria,
Café Malbec Wine & Tapas bar,"[365, 1325, 1533]"
Big Rock Country Club,
Lamorna Cove Cafe,
Falcons Lanes,
Rollercoaster Restaurant,
Angelina’s Pizzeria e Ristorante,"[991, 1883]"
Honsly Line Bar,
Sawtooth Brewery Public House,
Poppy's Bites & Barrels,
New York Pizza - Carbondale,
Station 43 Tavern,"[568, 2490]"
Thai Herbs Restaurant,"[208, 548, 1572]"
Dolo Restaurant and Bar,
Cub Drive In,
Leroy's cafe,
Los Verdes Mexican Food,
The Rusted Spoon Ogden,"[1184, 1301, 1505, 2135, 2360, 2603]"
Redlight Kitchen & Bar,
Manila Cafe,[729]
Qin Yi,
Top of the Stairs,
Iron Phnx,
Domino's Pizza - Canterbury,
Anwar's Restaurant,
520 Wings,"[833, 2185, 2816]"
Las Delicias LLC,
Alma Nutrition Healthy Hub,
Twisted Biscuit Brunch Co.,[645]
The Real China,"[156, 532, 537, 652, 734, 789, 924, 1172, 1276, 1278, 1313, 1355, 1658, 2144, 2400, 2475, 2906, 2959]"
Pa-Pizza,
Shirley's Pocket Park,
Kenny's Country Restaurant,
East Lyme Pizza Restaurant Llc,
Sturdee Cafe,
Davids Catfish House - Atmore,
Metl Bar Restaurant -Gaslamp,
Shotgun Annie's Saloon & Grill,
TC's Restaurant & Tavern,
Ellwood Thompson's,
Beat Nook Cafe,
Winthrop Center Cafe,
Yummy Gyro Restaurant,
Feral Hog Cafe,
Garbo's Neighborhood Bar,
Tenoch Urban Kitchen & Bar,
Leo's kitchen,[2361]
John Papas Cafe,[2092]
The Hookah Lounge,"[43, 89, 404, 584, 698, 789, 1018, 1317, 1765, 1931, 2475, 2499, 2723, 2863, 2959]"
Eli’s Restaurant - South Kensington,
The Wellness Bar Post Falls,[142]
Mid Watch Coffee Company,
CAFFE CAFFE,"[26, 177, 282, 283, 485, 562, 811, 1060, 1442, 1987, 2068, 2126, 2159, 2629, 2697]"
VIVA Mexican Restaurant,
Palace Bar Inc.,
Indigo Grille,
BobaLust Burien,
Sabai Sabai Southeast Asian Kitchen,
Fireside Pizza Shop,[2363]
Cujo's Pizza,
Big Bear Pizza Shack,[1075]
Bob's Hamburg,
The River & Sandbar,"[110, 789, 1134, 1240, 1416, 1419, 1696, 1847, 2125, 2331, 2347, 2817, 2923]"
Daydream Cafe,
Szabo's Steakhouse and Seafood,
Pupuseria y Taqueria Eben-Ezer,
New Milford Pizza Station,[2845]
Enchanted Circle Brewing Company,
New Yummy Chinese Restaurant‎,
Brinson's Bar-B-Que,
Souvlaki Place of Bayville,
Coastal Coffee Company,[1025]
Central Cafe and Tearooms,"[47, 198, 719, 1743, 2356]"
Mama's Caribbean Grill & Bar,
Honu Oceanside,
Kanes,"[513, 567]"
Tasty Pasta and Grill,
Grapevine On Main,
Hot Mama's Canteen,
Café 305,"[11, 287, 547, 864, 1325, 1528, 1533, 1940, 2156, 2201, 2412, 2725]"
Malika Indian Restaurant,
Cordon Bleu (Halal),
LE POSH NAIL BAR,
The Ramp Restaurant & Bar,"[172, 406, 1209, 1574, 1586, 1672, 1941, 1964, 2030, 2360, 2500, 2973]"
Encuentro Latino Restaurant,
Round River Baking,
Taqueria El Yaqui,"[254, 1104, 1686, 1691, 2118, 2248, 2482, 2684, 2985]"
Stappa Gap Jamaican Restaurant,
Sweet Treat,"[262, 1583, 1655, 1736, 2203]"
CJ’s Pizza,
Milano Express,
Hollie Berrie Tea Room,
Honolulu Coffee at Ala Moana,
Gabriel's Sport Cafe,
El Continental Restaurant,[2316]
Time Ethiopan cafe and market,
Izakaya Japanese Restaurant & Sake Bar,
Twisters Espresso,
Brickyard Point,
Anthem Coffee & Tea | Point Ruston,
Lilu,
Chicanos mexican food truck,
Blue Ridge Seafood Restaurant,"[1614, 2173, 2656]"
T & T Authentic Mexican Restaurant,
Catanzaro's Pizza & Subs,[1640]
Dilshad International Restaurant,
Country Meadows,"[231, 2655]"
Playzone Toledo,
Wilson's Sports Bar,
"Premier Inn Birmingham Oldbury (M5, Jct2) hotel",
Pavilion Stores and Café,
McKee's Point Marina,
Bob's Burgers & Brew Birch Bay,
Jack Douglass Saloon,
Mar & Tierra Restaurant,
Win Thai Restaurant,
Syrian Grill Abu Abdu,
"Steam Coffee + Eatery, Authorized Purveyor of Starbucks",
The Mole Hole,"[239, 247, 334, 424, 537, 584, 789, 836, 969, 1146, 1276, 1278, 1317, 1333, 1489, 1658, 1842, 2178, 2232, 2385, 2400, 2475, 2499, 2803, 2947, 2959]"
Capponi's Restaurant,
The Paradise Restaurant,"[144, 275, 369, 496, 1209, 1922, 2089, 2360, 2424, 2542, 2642, 2806, 2817, 2882]"
Cafe LaLa,"[11, 26, 61, 143, 200, 249, 282, 283, 547, 562, 610, 811, 857, 948, 998, 1001, 1107, 1375, 1399, 1442, 1544, 1739, 1987, 2016, 2068, 2126, 2159, 2304, 2352, 2520, 2573, 2615, 2629, 2697, 2709, 2721, 2725]"
Mintwist,
Katz 21 Steak & Spirits,
Aldas Restaurant & Bar,
Kendall Mountain Cafe,
Viscount\Montwood,
Southern Dreams Bakery,"[832, 2114]"
Postmark Cafe,
Little Busters Sport Bar & Grill,
Cottage Grove Retail Building,
PRESS Restaurant,"[1925, 1934, 1956, 1980]"
Basecamp Books and Bites,
Clearview BBQ,
The Hide-Out Bistro & Grill,"[509, 1200, 1209, 1699, 1765, 1822, 2135, 2299, 2806, 2817, 2973]"
Cultivator Coffee,
Obrigado Restaurant,
Main Street Historic District,"[21, 1391, 1839]"
The Milk House Coffee Co.,"[404, 517, 615, 1505, 1508, 2499]"
Tarka Indian Kitchen,
New Orleans Coffee & Beignets,
Khu Larb Thai Restaurant,
Half Moon,
Kay & Dixon Family Restaurant,
Cannadys Cafe,
Los Juan,
The Ranch Cafe & Deli LTD,"[140, 451, 502, 615, 1200, 2027, 2089, 2498, 2502]"
Showboat Lounge,
DiGiorgio's Cafe Largo,
Bishops Diner,
Rod & Ruby's,
El Sabor de México,"[1263, 1816]"
Stella's Cafe of Plymouth,
Mel's Mudd Coffee & Espresso of cabot,
Pink Pickle,
Asian City Chinese & Japanese restaurant,
Star Cinema Grill,
Brenham Donuts,
Celes hot dogs y mas,
Chef's House,
Broadway bar & Grill on W Broadway Ave,
Clara's,
Mrs. D's,
Incredible Mo's,[273]
Tequila Cantina,
The Point Coffee and Market,"[432, 1172, 2089, 2404]"
Buzzed Bear Coffee Co.,
All Bar One Oxford,
Charlie's Colonial Bar Inc,"[1481, 2751]"
Autumn Cafe,
Benets Cafe,"[24, 1418, 2478]"
Ban Tai Restaurant,[1157]
Vada weitl,
Valley King of Wisconsin,
L & J cafe,[2533]
Miga Korean Restaurant,
Bushel And A Peck Cafe,
La Jaiba Mexican Seafood Grill,[1257]
Dr. Wendy Schulz,"[985, 1852]"
Wendy Borgersen,"[274, 466, 479, 501, 524, 711, 2018, 2031, 2515, 2756]"
Wendy Meyer,"[119, 274, 465, 479, 501, 524, 711, 2018, 2031, 2238, 2311, 2515, 2756]"
Restaurant Equipment Hawai'i,"[805, 1615, 2015, 2904]"
Casa de Cafe,[2902]
EL CAMARON FELIZ II,[655]
Vixen's Beauty Bar,
Christo's Pizza Mystic,
Old Mart Cafe,
TACO REY,"[266, 280, 597, 616, 1732, 1854, 2668]"
Chow On The Square,
Dakar Catering,
Chelle's Special Touch Cafe,
Madres Espresso,
DRAGONS DEN BAR & GRILLE,
Wendy Rineman,"[119, 274, 465, 466, 501, 524, 711, 2018, 2031, 2238, 2311]"
The Scorpian,"[687, 789, 1048, 1064, 2180, 2229, 2344, 2723, 2846]"
Ethnos Coffee,
Javaloha Coffee,[2579]
El Mariachi Mexican Restaurant WPB,
Chelsea's Bar & Grille,
Caffe Tomaso Deli,[338]
Login Required,
Beth Mcdonald,
Big Gear Coffee Roasters,
Mountainside Grill & Bar,[1334]
Southern Cup Coffee Roasters,"[2114, 2948]"
teamc21il,
Fresco's Mexican Grill & Gourmet Frozen Yogurt,
Los Cucos Mexican Cafe Corp,
Pounder's Bar & Grill,
Blue Jacket Grill,[2283]
The Stanford Steakhouse,"[139, 1018, 1693, 2331, 2806]"
Matterhorn Restaurant & Biergarten,
David A Gonzalez DDS,
Southfield Grill,
Sioux Valley Grille,
Wendy Poxon,"[119, 274, 465, 466, 479, 2311, 2515]"
The Dancing Jalapeno on Route 66,"[432, 1209, 2571]"
Salon Bilancia / LV Nail Bar,
Lu Ban Restaurant,
PMTD Restaurants LLC,
Nicola Mcdonald,
Weexplay Tech Cafe Truck,
C-Town Wings,
The Goose Burgers & Beer,"[37, 420, 854, 1093, 1505, 1765, 1822, 2155, 2817, 2909]"
Oldham County Family YMCA,
The New Oasis Cafe,"[765, 789, 836, 852, 1056, 1161, 1562, 1610, 1712, 1726, 2846, 2910, 2925]"
China Wok Restaurant & Sushi Bar,"[2550, 2960]"
kape,"[361, 1198]"
Fortress Coffee,
River Pub & Grill,"[865, 1886, 2048]"
The Elizabeth Guest House and Restaurant,
The Honeysuckle Coffee Co.,"[424, 1508, 2089, 2299]"
Ji Wang Noodle Shop,
The CEU Café,"[50, 156, 284, 532, 652, 687, 789, 1048, 1276, 1333, 1397, 1459, 1564, 2144, 2161, 2322]"
Loughshore Restaurant Limited,
Deli-Café 3 Hermanos,
Burgers & Beer of Corning,
Morrisons Daily- Winston,[1407]
Wendy Martinez,"[119, 274, 465, 466, 479, 711, 1482, 2031, 2238, 2311, 2515]"
El Patron Mexican Grill & Bar,
Wicked Loft Café,
Dr. Jane Mcdonald,
Lure Lakebar,
Tavern 1897,
Jane,[1421]
Island Hotel & Restaurant,[1476]
The Alumni Cafe,"[50, 140, 156, 315, 519, 789, 924, 941, 1276, 1278, 1564, 2344, 2371, 2400]"
Tin Drum Asian Kitchen & Boba Tea Bar - The Collection at Forsyth,
Stanwood Cafe,
The Bee's Knees Pub & Catering Co.,"[1219, 1374, 2038, 2542, 2973]"
Turquoise Restaurant Bramhall,
The Coal Shed,"[92, 239, 247, 315, 687, 717, 789, 836, 924, 1048, 1276, 1333, 1355, 1397, 1649, 1842, 2184, 2229, 2232, 2322, 2347, 2475, 2723, 2803, 2947]"
La Nortena Tamale Factory,
Sands Restaurant,"[1925, 1956, 1980]"
Caroline's Country Cafe,[2746]
Mister's Bar and Lanes,
Spirit Bar Oxford,
Blend Cafe & Bakery at Columbus State Community College,
Luigi's Restaurant And Bar,
Therapeutic Cafe,[789]
Rock Room,"[1568, 1775]"
1815 Cafe,"[11, 19, 26, 61, 143, 200, 249, 282, 283, 365, 407, 562, 610, 690, 811, 857, 948, 998, 1001, 1026, 1107, 1325, 1375, 1399, 1442, 1488, 1533, 1544, 1739, 1987, 2016, 2068, 2126, 2159, 2304, 2352, 2412, 2495, 2508, 2520, 2573, 2615, 2629, 2685, 2697, 2702, 2709, 2721, 2725, 2776, 2918]"
Thai Me restaurant,[298]
George's Dining Room & Bar,
Number 14,[1780]
Shamrock Bar and Grille,
Wah Mei Chinese Restaurant,
Surf Club,
Bouchon,
Jimmy Jack's Rib Shack - Iowa City,
Rossi's Side Street Cafe,
Barb's Diner,"[849, 1059, 1311]"
Corduroy Coffee + Kitchen,
Buffalo Wing Factory,
The Breakfast Caffe,"[91, 139, 789, 1390, 1419, 2102]"
Andrea's Restaurant,"[1220, 1754]"
Cafe Orchid,"[11, 61, 249, 283, 407, 547, 610, 690, 857, 998, 1107, 1375, 1399, 1544, 1739, 1987, 2126, 2508, 2520, 2573, 2615, 2697, 2709, 2721, 2725, 2776]"
Coffee 212,"[63, 223, 723, 1136, 1188, 1189, 1613, 2072, 2131, 2634]"
GyroHouse Mediterranean,
H's Bar & Grill,
Waiting Room,
Kane's Catfish Seafood & Steakhouse,[361]
